Date,Open,High,Low,Close,Volume,Adj Close,Tmr Close,No.,High_Low,Close_Open
16/3/2004,1829.02,1831.07,1822.29,1826.32,134085400,1826.32,1833.57,50,8.78,-2.7
17/3/2004,1838.15,1843.6,1833.57,1833.57,189835800,1833.57,1835.18,51,10.03,-4.58
18/3/2004,1849.51,1856.32,1835.18,1835.18,175837000,1835.18,1839.12,52,21.14,-14.33
19/3/2004,1838.3,1843.99,1833.56,1839.12,155183000,1839.12,1812.16,53,10.43,0.82
22/3/2004,1835.53,1837.66,1812.16,1812.16,148692600,1812.16,1818.41,54,25.5,-23.37
23/3/2004,1801.2,1822.91,1793.76,1818.41,152626400,1818.41,1835.29,55,29.15,17.21
24/3/2004,1818.07,1840.31,1815.69,1835.29,179395200,1835.29,1830.4,56,24.62,17.22
25/3/2004,1840.38,1844.87,1820.48,1830.4,126614000,1830.4,1827.11,57,24.39,-9.98
26/3/2004,1839.04,1844.37,1824.82,1827.11,127623600,1827.11,1835.54,58,19.55,-11.93
29/3/2004,1829.29,1835.78,1820.87,1835.54,69638000,1835.54,1844.54,59,14.91,6.25
30/3/2004,1847.21,1861.64,1840.59,1844.54,136446000,1844.54,1858.92,60,21.05,-2.67
31/3/2004,1850.46,1863.29,1850.18,1858.92,125542400,1858.92,1870.7,61,13.11,8.46
1/4/2004,1856.8,1870.7,1851.79,1870.7,142090600,1870.7,1880.45,62,18.91,13.9
2/4/2004,1875.88,1882.03,1873.76,1880.45,164080800,1880.45,1890.2,63,8.27,4.57
5/4/2004,1891.73,1894.51,1878.83,1890.2,146192600,1890.2,1881.67,64,15.68,-1.53
6/4/2004,1895.78,1898.34,1880.4,1881.67,124039000,1881.67,1884.43,65,17.94,-14.11
7/4/2004,1887.92,1893.83,1882.54,1884.43,134871800,1884.43,1901.92,66,11.29,-3.49
8/4/2004,1887.54,1901.92,1883.91,1901.92,107469800,1901.92,1898.27,67,18.01,14.38
12/4/2004,1902.82,1902.82,1892.03,1898.27,65638400,1898.27,1895.51,68,10.79,-4.55
13/4/2004,1904.33,1906.27,1894.51,1895.51,101047000,1895.51,1869.67,69,11.76,-8.82
14/4/2004,1888.28,1888.28,1866.78,1869.67,119107800,1869.67,1844.38,70,21.5,-18.61
15/4/2004,1874.69,1876.24,1844.38,1844.38,146276400,1844.38,1853.99,71,31.86,-30.31
16/4/2004,1846.73,1859.48,1846.73,1853.99,105624400,1853.99,1844.71,72,12.75,7.26
19/4/2004,1857.76,1860.58,1844.71,1844.71,125990000,1844.71,1850.42,73,15.87,-13.05
20/4/2004,1851.72,1857.43,1847.21,1850.42,110053000,1850.42,1848.41,74,10.22,-1.3
21/4/2004,1847.87,1853.51,1845.56,1848.41,104573000,1848.41,1863.71,75,7.95,0.54
22/4/2004,1856.25,1866.33,1855.36,1863.71,184273800,1863.71,1867.64,76,10.97,7.46
23/4/2004,1879.16,1881.28,1865.5,1867.64,125450600,1867.64,1849.38,77,15.78,-11.52
26/4/2004,1868.37,1870.95,1847.14,1849.38,102051800,1849.38,1853.58,78,23.81,-18.99
27/4/2004,1850.82,1863.21,1850.52,1853.58,99839200,1853.58,1847.76,79,12.69,2.76
28/4/2004,1853.06,1856.63,1844.97,1847.76,107642400,1847.76,1812.13,80,11.66,-5.3
29/4/2004,1838.07,1838.07,1812.13,1812.13,212971400,1812.13,1842.03,81,25.94,-25.94
30/4/2004,1810.19,1842.4,1794.05,1842.03,227040200,1842.03,1839.23,82,48.35,31.84
3/5/2004,1841.39,1844.86,1828.64,1839.23,82816200,1839.23,1865.35,83,16.22,-2.16
4/5/2004,1838.53,1874.07,1838.53,1865.35,136954400,1865.35,1879.44,84,35.54,26.82
5/5/2004,1876.11,1879.44,1860.17,1879.44,194156400,1879.44,1866.61,85,19.27,3.33
6/5/2004,1880.11,1882.38,1862.67,1866.61,163586200,1866.61,1843.72,86,19.71,-13.5
7/5/2004,1861.25,1863.74,1839.83,1843.72,142805800,1843.72,1791.78,87,23.91,-17.53
10/5/2004,1826.69,1827.05,1788.42,1791.78,204501200,1791.78,1803.39,88,38.63,-34.91
11/5/2004,1797.25,1806.11,1782.32,1803.39,204110000,1803.39,1802.17,89,23.79,6.14
12/5/2004,1807.89,1811.4,1799.5,1802.17,153445400,1802.17,1778.59,90,11.9,-5.72
13/5/2004,1802,1802,1771.25,1778.59,151229200,1778.59,1754.96,91,30.75,-23.41
14/5/2004,1778.54,1785.08,1753.62,1754.96,200218000,1754.96,1700.33,92,31.46,-23.58
17/5/2004,1745.89,1745.89,1690.35,1700.33,195412400,1700.33,1722.8,93,55.54,-45.56
18/5/2004,1717.55,1730.8,1702.71,1722.8,160538000,1722.8,1765.26,94,28.09,5.25
19/5/2004,1741.09,1766.91,1740.09,1765.26,194865600,1765.26,1741.57,95,26.82,24.17
20/5/2004,1759.8,1759.99,1738.7,1741.57,125545400,1741.57,1767.23,96,21.29,-18.23
21/5/2004,1747.17,1768.17,1745.82,1767.23,117341400,1767.23,1779.79,97,22.35,20.06
24/5/2004,1774.92,1780.79,1762.75,1779.79,95490800,1779.79,1766.42,98,18.04,4.87
25/5/2004,1771.06,1775.98,1761.44,1766.42,83068000,1766.42,1776.7,99,14.54,-4.64
26/5/2004,1787.73,1791.96,1772.76,1776.7,92723000,1776.7,1778.55,100,19.2,-11.03
27/5/2004,1781.7,1783.5,1773.71,1778.55,109727200,1778.55,1787.18,101,9.79,-3.15
28/5/2004,1792.3,1805.48,1787.18,1787.18,136776800,1787.18,1788.66,102,18.3,-5.12
31/5/2004,1791.89,1793.46,1773.12,1788.66,63620200,1788.66,1791.97,103,20.34,-3.23
1/6/2004,1787.38,1793.9,1783.17,1791.97,42033400,1791.97,1780.88,104,10.73,4.59
3/6/2004,1787.55,1797.76,1767.26,1780.88,140298400,1780.88,1791.7,105,30.5,-6.67
4/6/2004,1783.46,1791.7,1771.17,1791.7,89782200,1791.7,1818,106,20.53,8.24
7/6/2004,1800.27,1823.54,1795.96,1818,124227600,1818,1820.14,107,27.58,17.73
8/6/2004,1831.09,1834.85,1819.2,1820.14,97091400,1820.14,1820.12,108,15.65,-10.95
9/6/2004,1823.09,1828.53,1816.47,1820.12,92991800,1820.12,1828.79,109,12.06,-2.97
10/6/2004,1814.08,1828.79,1810.85,1828.79,105108800,1828.79,1823.14,110,17.94,14.71
11/6/2004,1829.28,1829.43,1817.15,1823.14,81963800,1823.14,1814.06,111,12.28,-6.14
14/6/2004,1824,1830.21,1809.69,1814.06,83387400,1814.06,1820.5,112,20.52,-9.94
15/6/2004,1808.3,1820.5,1800.39,1820.5,120170600,1820.5,1831.31,113,20.11,12.2
16/6/2004,1827.51,1833.48,1819.72,1831.31,121127600,1831.31,1814.15,114,13.76,3.8
17/6/2004,1827.6,1828.07,1809.98,1814.15,120479000,1814.15,1791.62,115,18.09,-13.45
18/6/2004,1809.73,1810.17,1786.54,1791.62,118606600,1791.62,1787.15,116,23.63,-18.11
21/6/2004,1808.51,1808.51,1782.29,1787.15,99039600,1787.15,1785.93,117,26.22,-21.36
22/6/2004,1785.83,1793.08,1779.39,1785.93,61554200,1785.93,1794.65,118,13.69,0.1
23/6/2004,1792.28,1803.58,1789.59,1794.65,107594400,1794.65,1799.48,119,13.99,2.37
24/6/2004,1805.53,1808.03,1796.57,1799.48,128234800,1799.48,1805.54,120,11.46,-6.05
25/6/2004,1799.04,1806.85,1797.89,1805.54,86203200,1805.54,1816.42,121,8.96,6.5
28/6/2004,1807.15,1819.67,1803.45,1816.42,138746000,1816.42,1830.24,122,16.22,9.27
